"id";"siglaPartido";"nome";"codOcorrencia";"tituloOcorrencia";"dataOcorrencia";"idPartidoDestino";"siglaPartidoDestino";"descricaoOcorrencia";
;"PPB*";"Partido Proletário do Brasil";1;"Criação";"1946-12-17 00:00:00";;"PPB*";"Resolução TSE 1337";
;"PPB*";"Partido Proletário do Brasil";3;"Alteração Nome";"1947-07-24 00:00:00";;"PST**";"Resolução TSE 2111";
36762;"PPL";"Partido Pátria Livre";5;"Incorporação";"2019-08-06 00:00:00.000";36779;"PCdoB";;
36893;"PPM";"Partido Progressista Mineiro";2;"Extinção";;36893;"PPM";;
36874;"PPP";"Partido Popular Progressista";1;"Criação";;36874;"PPP";;
36874;"PPP";"Partido Popular Progressista";2;"Extinção";;36874;"PPP";;
36812;"PPR";"Partido Progressista Reformador";1;"Criação";"1993-04-04 00:00:00";36812;"PPR";"Criado da fusão entre PDS e PDC decidido por convenção em 04/04/1993";
36812;"PPR";"Partido Progressista Reformador";4;"Fusão";"1995-09-14 00:00:00.000";36811;"PPB";"Fundiu-se com o PP***";
36813;"PPS";"Partido Popular Socialista";1;"Criação";"1992-03-19 00:00:00.000";36813;"PPS";;
36813;"PPS";"Partido Popular Socialista";3;"Alteração Nome";"2019-04-05 00:00:00.000";37905;"CIDADANIA";"Alteração de nome aprovada em convenção em 23/03/2019 e ratificada pelo TSE em 19/09/2019";
36875;"PPS*";"Partido Popular Sindicalista";1;"Criação";"1945-10-02 00:00:00.000";36875;"PPS*";"Data de deferimento do registro no TSE";
36875;"PPS*";"Partido Popular Sindicalista";4;"Fusão";"1946-08-06 00:00:00";36840;"PSP";"Resolução-TSE 960. Juntou-se a PAN e PRP.";
36814;"PR";"Partido da República";1;"Criação";"2007-01-25 00:00:00.000";36814;"PR";"Fusão do PRONA e do PL (registros 19099 e 19121). TSE e fontes indicam 26/10/2006 como data oficial de criação.";
36814;"PR";"Partido da República";3;"Alteração Nome";"2019-05-22 17:05:00.000";37906;"PL";"Autorização do TSE para troca de nome concedida em 07/05/2019";
36877;"PR*";"Partido Regenerador";1;"Criação";;36877;"PR*";;
36877;"PR*";"Partido Regenerador";2;"Extinção";;36877;"PR*";;
36876;"PR**";"Partido Republicano";1;"Criação";"1945-11-06 00:00:00.000";36876;"PR**";"Resolução-TSE 308, registro definitivo";
36876;"PR**";"Partido Republicano";2;"Extinção";"1965-10-27 00:00:00.000";36876;"PR**";"Extinto pelo AI-2 em 1965";
36815;"PRB";"Partido Republicano Brasileiro";1;"Criação";"2009-08-13 00:00:00.000";36815;"PRB";"Troca de nome do PMR, por estatuto aprovado pela Resolução TSE 23104";
36815;"PRB";"Partido Republicano Brasileiro";3;"Alteração Nome";"2019-08-16 16:25:00.000";37908;"REPUBLICANOS";;
36878;"PRB*";"Partido Ruralista Brasileiro";1;"Criação";;36878;"PRB*";;
36878;"PRB*";"Partido Ruralista Brasileiro";2;"Extinção";;36878;"PRB*";;
36816;"PRC";"Partido Republicano Conservador";2;"Extinção";;36816;"PRC";;
36817;"PRD";"Partido Republicano Democrata da Bahia";2;"Extinção";;36817;"PRD";;
;"PRD*";"Partido Republicano Democrático";1;"Criação";"1946-11-16 00:00:00";;"PRD*";"Data de registro definitivo pela Resolução TSE 343";
;"PRD*";"Partido Republicano Democrático";3;"Alteração Nome";"1949-01-18 00:00:00";36828;"PRT";"Resolução TSE 3194";
36818;"PRE";"Partido Republicano";2;"Extinção";;36818;"PRE";;
36819;"PRF";"Partido Republicano Federal";2;"Extinção";;36819;"PRF";;
36820;"PRL";"Partido Republicano Liberal";2;"Extinção";;36820;"PRL";;
36821;"PRM";"Partido Republicano Mineiro";2;"Extinção";;36821;"PRM";;
36822;"PRN";"Partido da Reconstrução Nacional";1;"Criação";"1989-02-22";36822;"PRN";"Data aproximada. Renomeação do PJ após entrada de Fernando Collor em fevereiro de 1989.";
36822;"PRN";"Partido da Reconstrução Nacional";3;"Alteração Nome";"2000-11-11 00:00:00.000";36846;"PTC";"Data do estatuto registrado no TSE com a troca de nome para PTC";
